code,old_title,reviewed_title,decision,source
2022_thesis_interactions_between_cosmic_rays_and_the_atmosphere_modeling,Interactions Between Cosmic Rays and the Atmosphere: Modeling and Practical Applications,Interactions Between Cosmic Rays and the Atmosphere: Modeling and Practical Applications,verified,manual verification
2022_thesis_cosmic_rays_study_with_a_trasgo_detector,Cosmic Rays' study with a TRASGO detector,Cosmic-Ray Studies with a TRASGO Detector,corrected,manual verification
2022_thesis_study_of_cosmic_ray_data_with_the_tristan_and_tragaldabas_de,Study of Cosmic Ray Data with the Tristan and Tragaldabas Detection Systems,Study of Cosmic-Ray Data with the TRISTAN and TRAGALDABAS Detection Systems,corrected,manual verification
2023_article_he_o_all_particle_knee,1 30. Cosmic Rays,Cosmic Rays,corrected,manual verification
2023_article_a_cosmic_ray_muons_tomography_system_with_triangular_bar_pla,A cosmic ray muons tomography system with triangular bar plastic scintillator detectors and improved 3d image reconstruction algorithm: a simulation study,A cosmic ray muons tomography system with triangular bar plastic scintillator detectors and improved 3D image reconstruction algorithm: A simulation study,corrected,DOI 10.1016/j.net.2022.10.031
2023_article_application_of_the_global_neutron_monitor_network_for_assess,Application of the global neutron monitor network for assessment of spectra and anisotropy and the related terrestrial effects of strong seps,Application of the global neutron monitor network for assessment of spectra and anisotropy and the related terrestrial effects of strong SEPs,corrected,DOI 10.1016/j.jastp.2023.106021
2023_article_development_of_a_muon_detector_based_on_a_plastic_scintillat,Development of a muon detector based on a plastic scintillator and WLS fibers to be used for muon tomography system,Development of a muon detector based on a plastic scintillator and WLS fibers to be used for muon tomography system,verified,DOI 10.1016/j.net.2022.11.016
2023_article_eco_friendly_resistive_plate_chambers_for_detectors_in_futur,Eco friendly resistive plate chambers for detectors in future HEP applications,Eco-friendly Resistive Plate Chambers for detectors in future HEP applications,corrected,DOI 10.1016/j.nima.2023.168757
2023_article_fuente_de_calibraci_n_embarcada_en,Fuente de calibración embarcada en,Fuente de calibración embarcada en satélite para experimentos del fondo cósmico de microondas desde tierra,corrected,manual verification
2023_article_fuente_de_calibraci_n_embarcada_en_sat_lite_para_experimento,Fuente de calibración embarcada en satélite para experimentos del fondo cósmico de microondas desde tierra,Fuente de calibración embarcada en satélite para experimentos del fondo cósmico de microondas desde tierra,verified,manual verification
2023_article_laboratorio_de_f_sica_nuclear_y_de_part_culas,Laboratorio de física nuclear y de partículas,Laboratorio de Física Nuclear y de Partículas,corrected,manual verification
2023_article_laboratorio_de_f_sica_nuclear_y_de_part_culas_2,Laboratorio de física nuclear y de partículas,Laboratorio de Física Nuclear y de Partículas,corrected,manual verification
2023_article_measurements_of_cosmic_ray_mass_composition_with_the_icecube,Measurements of cosmic ray mass composition with the icecube neutrino observatory,Measurements of Cosmic Ray Mass Composition with the IceCube Neutrino Observatory,corrected,DOI 10.1051/epjconf/202328302007
2023_article_parallelization_of_garfield_and_nebem_to_simulate_space_char,Parallelization of garfield++ and nebem to simulate space charge effects in rpcs,Parallelization of Garfield++ and neBEM to simulate space-charge effects in RPCs,corrected,https://doi.org/10.1016/j.cpc.2023.108944
2023_article_tomograf_a_por_emisi_n_de_positrones,Tomografía por emisión de positrones,Tomografía por Emisión de Positrones,corrected,manual verification
2023_book_diego_herranz_enrique_mart_nez_gonza_lez,Cosmology,Cosmology,verified,manual verification
2023_slides_astronom_a_de_multimensajeros,Astronomía de multimensajeros,Astronomía de Multimensajeros,corrected,manual verification
2023_slides_on_the_fly_reconstruction_of_activation_by_proton_beams_usin,On-the-fly reconstruction of activation by,On-the-Fly Reconstruction of Activation by Proton Beams Using In-Beam PET,corrected,manual verification
2023_slides_on_the_fly_reconstruction_of_activation_by_proton_beams_usin_2,On-the-fly reconstruction of activation by,On-the-Fly Reconstruction of Activation by Proton Beams Using In-Beam PET,corrected,manual verification
2024_article_anisotropic_forbush_decrease_of_24_march_2024_first_look,Anisotropic Forbush Decrease of 24 March 2024: First Look,Anisotropic Forbush decrease of 24 March 2024: First look,corrected,DOI 10.1016/j.asr.2024.08.027
2024_article_bright_innovations_review_of_next_generation_advances_in_sci,Bright innovations: review of next generation advances in scintillator engineering,Bright Innovations: Review of Next-Generation Advances in Scintillator Engineering,corrected,DOI 10.1021/acsnano.3c12381
2024_article_technical_report_open_access_you_may_also_like,Development of a sub-mm particle tracking detector based on a plastic scintillator with sipm charge sharing,Development of a sub-mm particle tracking detector based on a plastic scintillator with SiPM charge sharing,corrected,https://doi.org/10.1088/1748-0221/19/12/t12006
2024_article_evolution_of_the_cosmic_ray_spectrum_during_a_forbush_decrea,Evolution of the cosmic ray spectrum during a forbush decrease,Evolution of the cosmic ray spectrum during a Forbush decrease,corrected,DOI 10.1016/j.asr.2024.02.026
2024_article_formula_omitted_formula_omitted_fast_timing_with_high_perfor,gamma-gamma fast timing with high performance labr3(ce) scintillators,γ–γ Fast Timing with High-Performance LaBr3(Ce) Scintillators,corrected,DOI 10.1016/j.ppnp.2024.104152
2024_article_high_rate_tests_on_resistive_plate_chambers_operated_with_ec,High rate tests on resistive plate chambers operated with eco friendly gas mixtures,High-rate tests on resistive plate chambers operated with eco-friendly gas mixtures,corrected,DOI 10.1140/epjc/s10052-024-12545-8
2024_article_image_reconstruction_algorithm_for_momentum_dependent_muon_s,Image reconstruction algorithm for momentum dependent muon scattering tomography,Image reconstruction algorithm for momentum dependent muon scattering tomography,verified,DOI 10.1016/j.net.2023.12.009
2024_article_international_cosmic_ray_conference_1985_paper_3_434l,International Cosmic Ray Conference 1985 Paper 3 434L,Mini and Super Mini Arrays for the Study of Highest Energy Cosmic Rays,corrected,manual verification
2024_article_new_readout_system_of_the_fatima_detectors_based_on_silicon,New readout system of the fatima detectors based on silicon photomultipliers arrays,New readout system of the FATIMA detectors based on Silicon Photomultipliers arrays,corrected,DOI 10.1016/j.nima.2024.170001
2024_article_observation_of_thunderstorm_induced_muon_events_in_grapes_3,Observation of thunderstorm induced muon events in grapes 3 experiment,Observation of thunderstorm-induced muon events in GRAPES-3 experiment,corrected,DOI 10.1016/j.jastp.2024.106231
2024_article_nuclear_instruments_and_methods_in_physics_research_a_857_20,Performance Evaluation of Novel LaBr3(Ce) Scintillator Geometries for MARK Fast-Timing Applications,Performance evaluation of novel LaBr3(Ce) scintillator geometries for fast-timing applications,corrected,DOI 10.1016/j.nima.2017.03.030
2024_article_resistive_plate_chambers_are_used_in_the_atlas_experiment_fo,Performance of atlas RPC detectors and l1 muon,Performance of ATLAS RPC Detectors and L1 Muon Barrel Trigger with a New CO2-Based Gas Mixture,corrected,manual verification
2024_article_scintillator_sipm_detector_for_tracking_and_energy_depositio,Scintillator sipm detector for tracking and energy deposition measurements,Scintillator-SiPM detector for tracking and energy deposition measurements,corrected,DOI 10.1016/j.nima.2024.169955
2024_article_stability_studies_of_sealed_resistive_plate_chambers,Stability studies of sealed resistive plate chambers,Stability Studies of Sealed (Zero Gas Flow) Resistive Plate Chambers,corrected,manual verification
2024_article_technological_developments_and_future_perspectives_in_partic,Technological Developments and Future Perspectives in Particle Therapy: A Topical Review,Technological Developments and Future Perspectives in Particle Therapy: A Topical Review,verified,DOI 10.1109/TRPMS.2024.3372189
2024_article_comparison_of_timing_measurement_methods_of_dual_ended_reado,Comparison of timing measurement methods of dual-ended readout scintillator array PET detectors,Comparison of Timing Measurement Methods of Dual-Ended Readout Scintillator Array PET Detectors,corrected,DOI 10.1109/TRPMS.2024.3382990
2024_article_unusual_forbush_decreases_and_geomagnetic_storms_on_24_march,Unusual Forbush Decreases and Geomagnetic Storms on 24 March 2024 and 11 May 2024,"Unusual Forbush Decreases and Geomagnetic Storms on 24 March, 2024 and 11 May, 2024",corrected,DOI 10.3390/atmos15091033
2024_book_the_28th_european_cosmic,The 28th european cosmic,The 28th European Cosmic Ray Symposium (ECRS 2024),corrected,manual verification
2024_article_a_simple_parameterization_of_the_cosmic_ray,A Simple Parameterization of the Cosmic-Ray,A Simple Parameterization of the Cosmic-Ray Muon Momentum Spectra at the Surface as a Function of Zenith Angle,corrected,manual verification
2024_slides_enhancing_compton_camera_imaging,Enhancing compton camera imaging,Enhancing Compton Camera Imaging with Neural Networks,corrected,manual verification
2024_slides_isvhecri_eas_neutrons_engel_2024_v1,Isvhecri EAS neutrons engel 2024 v1,Neutron Production in Simulations of Extensive Air Showers,corrected,manual verification
2024_slides_los_rayos_c_smicos_y_la_atm_sfera,Jag24 04 trasgos atmosfera mgalicia ext,Los rayos cósmicos y la atmósfera,corrected,manual verification
2024_slides_trasgo_detectors_expected_secondary_cosmic_rays_at_di_erent,K corsair summary,TRASGO Detectors: Expected Secondary Cosmic Rays at Different Locations and Primary Cosmic-Ray Incident Angles,corrected,manual verification
2024_slides_research_and_development_of_micro_pixel_multilayer_charge,Research and development of micro-pixel multilayer charge sharing micromegas detectors,Research and Development of Micro-Pixel Multilayer Charge-Sharing Micromegas Detectors,corrected,manual verification
2024_slides_timing_properties_in_resistive_plate,Timing properties in resistive plate,Timing Properties in Resistive Plate Chambers from Statistical Considerations,corrected,manual verification
2025_article_accurate_cataloging_of_forbush_decreases_implications_for_sp,Accurate cataloging of forbush decreases: implications for space weather research,Accurate cataloging of Forbush decreases: implications for space weather research,corrected,DOI 10.1007/s10509-025-04507-7
2025_article_cosmic_ray_counting_variability_from_water_cherenkov_detecto,Cosmic ray counting variability from water cherenkov detectors as a proxy of stratospheric conditions in antarctica,Cosmic Ray Counting Variability From Water‐Cherenkov Detectors as a Proxy of Stratospheric Conditions in Antarctica,corrected,DOI 10.1029/2025EA004298
2025_article_cosmic_ray_energy_and_composition_measurements_with_grapes_3,Cosmic ray energy and composition measurements with grapes 3 and other experiments,Cosmic ray energy and composition measurements with GRAPES-3 and other experiments,corrected,DOI 10.1140/epjs/s11734-025-01707-8
2025_article_data_publication_activities_for_the_global_muon,Data publication activities for the global muon,Data Publication Activities for the Global Muon Detector Network (GMDN),corrected,manual verification
2025_article_design_studies_on_large_muon_trigger_detectors_using_silicon,Design Studies on Large Muon Trigger Detectors Using Silicon Photomultiplier Devices,Design studies on large muon trigger detectors using silicon photomultiplier devices,corrected,DOI 10.1063/5.0288270
2025_article_fast_calculation_of_geomagnetic_cutoff_rigidity,Fast calculation of geomagnetic cutoff rigidity,Fast calculation of geomagnetic cutoff rigidity,verified,DOI 10.1016/j.asr.2025.11.078
2025_article_high_latitude_observation_of_the_forbush_decrease_during_the,High latitude observation of the forbush decrease during the may 2024 solar storms with muon and neutron detectors on svalbard,High latitude observation of the Forbush decrease during the May 2024 solar storms with muon and neutron detectors on Svalbard,corrected,DOI 10.1016/j.asr.2025.05.023
2025_article_investigation_of_a_muon_burst_coincident_with_km3_230213a,Investigation of a Muon Burst Coincident With KM3-230213A,Investigation of a muon burst coincident with KM3-230213A,corrected,DOI 10.1016/j.astropartphys.2025.103201
2025_article_measurement_of_the_muon_flux_at_the_lhc_using_the_srpc_detec,Measurement of the muon flux at the LHC using the sRPC detector,Measurement of the Muon Flux at the LHC Using the sRPC Detector,corrected,manual verification
2025_article_long_term_evolution_of_cosmic_ray_modulation_a_comprehensive,Long term evolution of cosmic ray modulation: a comprehensive analysis of solar and heliospheric influences (1964 2024),Long-Term Evolution of Cosmic Ray Modulation: A Comprehensive Analysis of Solar and Heliospheric Influences (1964–2024),corrected,manual verification
2025_article_magnetopause_location_and_solar_wind_turbulence_level_during,Magnetopause location and solar wind turbulence level during fds and their impacts on the global electric circuit,Magnetopause Location and Solar Wind Turbulence Level During FDs and Their Impacts on the Global Electric Circuit,corrected,DOI 10.1029/2025SW004453
2025_article_monolithic_plastic_scintillator_detectors_novel_concepts_and,Monolithic plastic scintillator detectors: novel concepts and frontier developments,Monolithic Plastic Scintillator Detectors: Novel Concepts and Frontier Developments,corrected,manual verification
2025_article_monolithic_scintillator_detectors_read_out_by_sipm_arrays_st,Monolithic scintillator detectors read out by sipm arrays state of the art,Monolithic Scintillator Detectors Read Out by SiPM Arrays: State of the Art,corrected,manual verification
2025_article_monolithic_vs_segmented_scintillator_detectors_in_modern_exp,Monolithic vs. segmented scintillator detectors in modern experiments,Monolithic vs. Segmented Scintillator Detectors in Modern Experiments,corrected,manual verification
2025_article_development_of_portable_cosmic_ray_muon_detector_array_for_m,MuGrid-v2: A Novel Scintillator Detector for Multidisciplinary Applications,MuGrid-v2: A novel scintillator detector for multidisciplinary applications,corrected,DOI 10.1063/5.0273373
2025_article_muon_tracker_with_unsegmented_plastic_scintillator_panels,Muon tracker with unsegmented plastic scintillator panels,Muon Tracker with Unsegmented Plastic Scintillator Panels,corrected,manual verification
2025_article_muonslab_a_plastic_scintillator_based_detector_for_muon_meas,MuonSLab: A plastic scintillator based detector for muon measurement in the deep ocean,MuonSLab: A plastic scintillator based detector for muon measurement in the deep ocean,verified,https://doi.org/10.22323/1.501.0440
2025_article_nonmaximal_entanglement_of_photons_from_positron_electron_an,Nonmaximal entanglement of photons from positron-electron annihilation demonstrated using a plastic PET scanner,Nonmaximal entanglement of photons from positron-electron annihilation demonstrated using a plastic PET scanner,verified,https://doi.org/10.1126/sciadv.ads3046
2025_article_optical_multiplexing_for_channel_reduction_in_scintillator,Optical Multiplexing for Channel Reduction in Scintillator-Based Muon Tomography System,Optical multiplexing for channel reduction in scintillator-based muon tomography system,corrected,DOI 10.1063/5.0273319
2025_article_performance_study_of_a_position_sensitive_plastic_scintillat,Performance study of a position sensitive plastic scintillator detector,Performance Study of a Position-Sensitive Plastic Scintillator Detector,corrected,manual verification
2025_article_ppet_investigating_the_muon_puzzle_with_j_pet_detectors,PPET: investigating the muon puzzle with j PET detectors,μPPET: Investigating the Muon Puzzle with J-PET Detectors,corrected,DOI 10.3390/universe11060180
2025_article_rigidity_spectrum_of_cosmic_ray_anisotropy,Rigidity spectrum of cosmic ray anisotropy,Rigidity Spectrum of Cosmic-Ray Anisotropy Observed by the Global Muon Detector Network (GMDN),corrected,manual verification
2025_article_scaler_rates_from_the_pierre_auger_observatory_a_new_proxy_o,Scaler rates from the pierre auger observatory: a new proxy of solar activity,Scaler Rates from the Pierre Auger Observatory: A New Proxy of Solar Activity,corrected,DOI 10.3847/1538-4357/adccc3
2025_article_scaler_rates_from_the_pierre_auger_observatory,Scaler Rates From the Pierre Auger Observatory: A New Proxy of Solar Activity,Scaler Rates from the Pierre Auger Observatory: A New Proxy of Solar Activity,corrected,manual verification
2025_article_self_triggering_approach_of_cosmic_ray_radio_emission_at_sem,Self-Triggering Approach of Cosmic Ray Radio Emission at Semnan University Radio Array Experiment,Self-triggering approach of cosmic ray radio emission at Semnan University radio array experiment,corrected,DOI 10.1007/s12036-025-10062-y
2025_article_some_interesting_observations_of_cosmic_ray_variations_durin,Some interesting observations of cosmic ray variations during the extreme solar storm on 2024 may 10 11,Some Interesting Observations of Cosmic Ray Variations during the Extreme Solar Storm on 2024 May 10–11,corrected,DOI 10.3847/1538-4357/adf32c
2025_article_spectra_and_anisotropy_during_gle_74_on_11_may,Spectra and anisotropy during GLE 74 on 11 may,Spectra and Anisotropy During GLE 74 on 11 May 2024 Derived Using Neutron Monitor Data,corrected,manual verification
2025_article_strong_enhancement_of_electromagnetic_shower_development_in,Strong enhancement of electromagnetic shower development in oriented scintillating crystals and implications for particle detectors,Strong enhancement of electromagnetic shower development in oriented scintillating crystals and implications for particle detectors,verified,DOI 10.1140/epjc/s10052-025-14967-4
2025_article_the_1_june_2025_forbush_decrease_measured_over_a_rangeof_pri,The 1 june 2025 forbush decrease measured over a rangeof primary cosmic ray energies,The 1 June 2025 Forbush Decrease Measured over a Range of Primary Cosmic Ray Energies,corrected,DOI 10.3390/universe11100342
2025_article_thunderstorm_induced_muon_event_on_20_march_2020_insights_fr,"Thunderstorm induced muon event on 20 march 2020: insights from the ooty muon telescope, insat 3dr, and lightning observations","Thunderstorm-induced muon event on 20 March 2020: Insights from the Ooty muon telescope, INSAT-3DR, and lightning observations",corrected,DOI 10.1103/g13s-38c8
2025_article_time_lag_analysis_of_the_space_weather_effects_on_muon_and_n,Time lag analysis of the space weather effects on muon and neutron flux at different geomagnetic cutoff rigidities,Time lag analysis of the space weather effects on muon and neutron flux at different geomagnetic cutoff rigidities,verified,DOI 10.1016/j.asr.2025.04.032
2025_article_time_of_flight_detector_for_the_identification_of_low_moment,Time of flight detector for the identification of,Time-of-Flight Detector for the Identification of Low-Momentum Secondary Cosmic Rays in the ACROMASS Experiment,corrected,manual verification
2025_article_timing_rpcs_25_years,Timing RPCs: 25 Years,Timing RPCs: 25 years,corrected,DOI 10.1016/j.nima.2025.170401
2025_article_wcda_detector_of_the_lhaaso_experiment_as_a_pair_meter_to_me,Wcda detector of the lhaaso experiment as a pair meter to measure atmospheric muon spectrum,WCDA Detector of the Lhaaso Experiment as a Pair-Meter to Measure Atmospheric Muon Spectrum,corrected,DOI 10.21203/rs.3.rs-6998918/v1
2025_article_open_the_amerigo_vespucci_as_a_traveling,Www.nature.com/scientificreports,The Amerigo Vespucci as a traveling laboratory for studying the cosmic-ray fluxes at sea level,corrected,DOI 10.1038/s41598-025-24181-7
2025_poster_response_of_galactic_cosmic_rays_to_solar,Response of galactic cosmic rays to solar,Response of Galactic Cosmic Rays to Solar Activity,corrected,manual verification
2025_preprint_a_compact_two_dimensional_radiation_detector_for_educational,A compact two dimensional radiation detector for educational applications,A Compact Two-Dimensional Radiation Detector for Educational Applications,corrected,manual verification
2025_preprint_commissioning_of_proanubis_a_proof_of_concept_detector_for_t,Commissioning of proanubis: a proof of concept detector for the anubis experiment,Commissioning of proANUBIS: A Proof-of-Concept Detector for the ANUBIS Experiment,corrected,manual verification
2025_preprint_development_and_testing_of_a_modular_large_area_cosmic_ray_t,Development and testing of a modular large area cosmic ray telescope using scintillator fiber hybrid design for millimeter level muon tracking,Development and Testing of a Modular Large-Area Cosmic-Ray Telescope Using a Scintillator-Fiber Hybrid Design for Millimeter-Level Muon Tracking,corrected,manual verification
2025_preprint_enhancing_air_shower_observations_results_from_an_icecube_su,Enhancing air shower observations: results from an icecube surface array prototype station,Enhancing Air-Shower Observations: Results from an IceCube Surface-Array Prototype Station,corrected,manual verification
2025_preprint_feyncraft_a_game_of_feynman_diagrams,Feyncraft: a game of feynman diagrams,FeynCraft: A Game of Feynman Diagrams,corrected,manual verification
2025_preprint_improving_muon_scattering_tomography_performance_with_a_muon,Improving muon scattering tomography performance with a muon momentum measurement scheme,Improving Muon Scattering Tomography Performance with a Muon Momentum Measurement Scheme,corrected,manual verification
2025_preprint_millimeter_resolution_cosmic_ray_imaging_via_projection_shif,Millimeter resolution cosmic ray imaging via projection shifted muon transmission tomography,Millimeter-Resolution Cosmic-Ray Imaging via Projection-Shifted Muon Transmission Tomography,corrected,manual verification
2025_preprint_multiplexed_sipm_readout_of_plastic_scintillating_fiber_dete,Multiplexed SiPM Readout of Plastic Scintillating Fiber Detector for Muon Tomography,Multiplexed SiPM Readout of a Plastic Scintillating-Fiber Detector for Muon Tomography,corrected,manual verification
2025_preprint_performance_evaluation_of_compact_plastic_scintillating_fibe,Performance evaluation of compact plastic scintillating fiber modules for muon tomography applications,Performance evaluation of compact plastic scintillating fiber modules for muon tomography applications,verified,https://doi.org/10.1016/j.nima.2026.171595
2025_preprint_performance_reconstruction_of_eco_friendly_gas_mixtures_for,Performance reconstruction of eco friendly gas mixtures for improved resistive plate chambers at gif++ using geant4,Performance Reconstruction of Eco-Friendly Gas Mixtures for Improved Resistive Plate Chambers at GIF++ Using Geant4,corrected,manual verification
2025_preprint_science_prospects_for_the_southern_wide_field_gamma_ray_obse,Science prospects for the southern wide field gamma ray observatory: SWGO,Science Prospects for the Southern Wide-Field Gamma-Ray Observatory (SWGO),corrected,manual verification
2025_preprint_updated_earth_tomography_using_atmospheric_neutrinos_at_icec,Updated earth tomography using atmospheric neutrinos at icecube,Updated Earth Tomography Using Atmospheric Neutrinos at IceCube,corrected,manual verification
2025_preprint_using_cosmic_rays_to_predict_the_weather_meteorological_data,Using cosmic rays to predict the weather: meteorological data assimilation of atmospheric muon flux data,Using Cosmic Rays to Improve Weather Forecasting: Meteorological Data Assimilation of Atmospheric Muon Flux Data,corrected,manual verification
2025_slides_powerpoint_presentation,Site-specific incoming correction based on muons: a comparison with cosmic neutrons measurements at jung and oulu,Site-Specific Incoming Correction Based on Muons: A Comparison with Cosmic-Neutron Measurements at JUNG and OULU,corrected,manual verification
2025_thesis_analysing_the_impact_of_detector,Analysing the impact of detector,Analysing the Impact of Detector Properties on Pulse Shape Discrimination in Plastic Scintillation Detectors Using Monte Carlo Simulations,corrected,manual verification
2026_article_analysis_of_solar_activities_on_cosmic_muon_flux_using_a_por,Analysis of Solar Activities on Cosmic Muon Flux Using a Portable Muon Telescope in Agra,Analysis of Solar Activities on Cosmic Muon Flux Using a Portable Muon Telescope in Agra,verified,manual verification
2026_article_preprint_discussion_started_2_february_2026,Empirical Evidence of Spurious Correlations Among Space Weather Variables,Empirical evidence of spurious correlations among space weather variables,corrected,DOI 10.5194/egusphere-2025-6494
2026_article_feasibility_study_of_a_novel_level_meter_using_cosmic_ray,Feasibility Study of a Novel Level Meter Using Cosmic-Ray Muons,Feasibility study of a novel level meter using cosmic-ray muons,corrected,DOI 10.1063/5.0272871
2026_article_on_the_variability_of_the_barometric_effect_and_its_relation,On the variability of the barometric effect and its relation to cosmic ray neutron sensing,On the Variability of the Barometric Effect and Its Relation to Cosmic-Ray Neutron Sensing,corrected,DOI 10.3390/s26030925
2026_article_recent_research_progress_on_cosmic_ray_muon_imaging_technolo,Recent research progress on cosmic ray muon imaging technology,Recent research progress on cosmic ray muon imaging technology,verified,DOI 10.1016/j.net.2025.104091
2026_article_scintillation_muon_telescope_module_with_fiber_optic_light_c,Scintillation muon telescope module with fiber-optic light collection,Scintillation Muon Telescope Module with Fiber-Optic Light Collection,corrected,manual verification
2026_article_simulation_based_analysis_of_temperature_and_barometric_effe,Simulation based analysis of temperature and barometric effects on cosmic muon flux with corsika,Simulation-based analysis of temperature and barometric effects on cosmic muon flux with CORSIKA,corrected,DOI 10.1016/j.asr.2026.01.091
2026_article_study_of_electrode_property_of_resistive_plate_chamber,Study of electrode property of Resistive Plate Chamber,Study of Electrode Properties of a Resistive Plate Chamber,corrected,manual verification
2026_article_citation_in_bibtex_format,The Impact of Time Dilation on Ground Level Muons: Experimental and Analytical Analysis,The Impact of Time Dilation on Ground Level Muons: Experimental and Analytical Analysis,verified,DOI 10.1145/3778534.3778673
2026_article_thunderstorm_induced_variations_in_ground_level,Thunderstorm induced variations in ground level cosmic muon measurements: state of the art review of ground based observations (as of february 2026),Thunderstorm-Induced Variations in Ground-Level Cosmic-Muon Measurements: State-of-the-Art Review of Ground-Based Observations (as of February 2026),corrected,manual verification
2026_preprint_ground_level_enhancement_gle_77_in_the_gamma_ray_component_f,Ground level enhancement (gle#77) in the gamma ray component: first observation from arctic and antarctic stations,Ground-Level Enhancement (GLE #77) in the Gamma-Ray Component: First Observation from Arctic and Antarctic Stations,corrected,manual verification
2026_preprint_monitoring_the_upper_atmospheric_temperature_and_interplanet,Monitoring the upper atmospheric temperature and interplanetary magnetic field with the grapes 3 muon telescope,Monitoring the Upper Atmospheric Temperature and Interplanetary Magnetic Field with the GRAPES-3 Muon Telescope,corrected,manual verification
2026_thesis_atmospheric_muon_flux_study_with_gem_detectors,Atmospheric Muon Flux Study with GEM Detectors,Atmospheric Muon Flux Study with GEM Detectors,verified,manual verification
2026_preprint_the_muon_charge_asymmetry_and_the_directional_distribution_o,The muon charge asymmetry and the directional distribution of thunderstorm events observed by the GRAPES-3 muon telescope,The Muon Charge Asymmetry and the Directional Distribution of Thunderstorm Events Observed by the GRAPES-3 Muon Telescope,corrected,manual verification
2026_preprint_machine_learning_based_cluster_classification_to_suppress_ba,Machine Learning-Based Cluster Classification to Suppress Background in a Prototype RPC Detector,Machine learning-based cluster classification to suppress background in a prototype RPC detector,corrected,https://doi.org/10.1088/1748-0221/21/05/p05010
2026_article_a_galactic_cosmic_ray_cavity_in_earth_moon_space,A galactic cosmic ray cavity in Earth-Moon space,A Galactic Cosmic-Ray Cavity in Earth-Moon Space,corrected,manual verification
2025_article_performance_of_a_real_size_low_resistivity_resistive_plate_c,"Performance of a real-size, low resistivity resistive plate chamber at GIF++ using self-trigger electronics for the Muon Chamber of the CBM Experiment","Performance of a real-size, low resistivity resistive plate chamber at GIF++ Using self-trigger electronics for the Muon Chamber of the CBM Experiment",corrected,https://doi.org/10.1088/1748-0221/20/03/p03009
1996_article_a_comparison_of_the_wide_gap_and_narrow_gap_resistive_plate,A comparison of the wide gap and narrow gap resistive plate chamber,A comparison of the wide gap and narrow gap resistive plate chamber,verified,https://doi.org/10.1016/0168-9002(95)01483-7
2009_thesis_design_and_characterisation_studies_of_resistive_plate_chamb,Design and Characterisation Studies of Resistive Plate Chambers,Design and Characterisation Studies of Resistive Plate Chambers,verified,manual verification
2017_article_challenges_in_qcd_matter_physics_the_scientific_programme_of,Challenges in QCD matter physics — The scientific programme of the Compressed Baryonic Matter experiment at FAIR,Challenges in QCD Matter Physics — The Scientific Programme of the Compressed Baryonic Matter Experiment at FAIR,corrected,DOI 10.1140/epja/i2017-12248-y
2023_article_high_time_resolution_two_dimensional_position_sensitive_msmg,"High time resolution, two-dimensional position sensitive MSMGRPC for high energy physics experiments","High time resolution, two-dimensional position sensitive MSMGRPC for high energy physics experiments",verified,DOI 10.1016/j.nima.2022.167621
2024_article_aging_suppression_in_multistrip_multigap_resistive_plate_cha,Aging suppression in Multistrip Multigap Resistive Plate Chambers for high counting rate experiments,Aging suppression in Multistrip Multigap Resistive Plate Chambers for high counting rate experiments,verified,DOI 10.1016/j.nima.2024.169584
2025_article_radiation_hard_multi_strip_multi_gap_resistive_plate_chamber,Radiation hard multi-strip multi-gap resistive plate chamber architecture for low polar angles of the CBM-TOF wall,Radiation hard multi-strip multi-gap resistive plate chamber architecture for low polar angles of the CBM-TOF wall,verified,DOI 10.1016/j.nima.2025.170580
2021_article_performance_of_the_msmgrpc_with_the_highest_granularity_of_t,Performance of the MSMGRPC with the highest granularity of the CBM-TOF wall in cosmic ray tests,Performance of the MSMGRPC with the Highest Granularity of the CBM-TOF Wall in Cosmic-Ray Tests,corrected,manual verification
2026_slides_sealed_rpcs_status_and_perspectives,"Sealed RPCs, status and perspectives",Sealed RPCs: Status and Perspectives,corrected,manual verification
